Coef;CPI+GDP;;CPI+ULC;;Deflator+GDP;;Deflator+ULC;
beta;1.602805644;7.55E-14;0.764491129;5.67E-11;2.271332733;0.00261503;1.453673029;0.029776789
lambda;-0.191874168;1.45E-05;0.064776849;0.034006722;0.191118677;0.531433982;-0.536360772;0.083035545
Test E(g)=0:  ;7.930372299;0.243248934;10.59456694;0.101744587;7.917183954;0.244233644;4.930954606;0.294455636
beta;1.649366589;7.48E-08;1.441459545;0.002706281;1.077826035;1.97E-12;0.711022034;0.003834752
lambda;-0.252987442;0.000776383;0.121808357;0.449747682;0.068045171;0.759832697;-0.219492913;0.31888128
alpha;0.108983188;0.000140703;0.084043338;0.124025555;0.646318658;5.12E-34;0.184698256;0.036941282
Test E(g)=0:  ;5.048615013;0.537593187;0.207091982;0.901634555;13.23417613;0.066604167;11.85916962;0.018429827
gamma_f;0.625741815;0.096161855;0.708213551;4.85E-13;1.328147684;0.00542545;0.573867321;0.047776746
gamma_b;0.595126912;0.419639439;0.461065234;6.20E-06;1.020153693;0.034754187;0.915354946;0.000176415
lambda;-1.471368133;0.000452403;0.21664092;0.00035065;-1.647432981;0.000242622;-0.128214755;0.511991638
Test E(g)=0:  ;19.16018014;0.014026081;15.24911043;0.084316705;11.68977622;0.11123345;19.184773;0.007627804
